 color_intensity,shape,ripeness_per,alcohol_per, malic_acid_per, ash, alcalinity_of_ash, magnesium_measure, total_phenols, flavanoids, proanthocyanins, hue, proline,class
2.94,round,,12.51,1.73,1.98,20.5,85,2.2,1.92,1.48,1.04,672,Medium
2.7,elliptical,,12.42,2.55,2.27,22,90,1.68,1.84,1.42,0.86,315,Medium
3.4,round,,12.25,1.73,2.12,19,80,1.65,2.03,1.63,1,510,Medium
3.3,elliptical,,12.72,1.75,2.28,22.5,84,1.38,1.76,1.63,0.88,488,Medium
2.7,elliptical,,12.22,1.29,1.94,19,92,2.36,2.04,2.08,0.86,312,Medium
2.65,elliptical,,11.61,1.35,2.7,20,94,2.74,2.92,2.49,0.96,680,Medium
2.9,round,,11.46,3.74,1.82,19.5,107,3.18,2.58,3.58,0.75,562,Medium
2,elliptical,,12.52,2.43,2.17,21,88,2.55,2.27,1.22,0.9,325,Medium
3.8,elliptical,,11.76,2.68,2.92,20,103,1.75,2.03,1.05,1.23,607,Medium
3.08,elliptical,,11.41,0.74,2.5,21,88,2.48,2.01,1.44,1.1,434,Medium
2.9,round,,12.08,1.39,2.5,22.5,84,2.56,2.29,1.04,0.93,385,Medium
1.9,round,,11.03,1.51,2.2,21.5,85,2.46,2.17,2.01,1.71,407,Medium
1.95,elliptical,,11.82,1.47,1.99,20.8,86,1.98,1.6,1.53,0.95,495,Medium
2.06,elliptical,,12.42,1.61,2.19,22.5,108,2,2.09,1.61,1.06,345,Medium
3.4,round,,12.77,3.43,1.98,16,80,1.63,1.25,0.83,0.7,372,Medium
1.28,round,,12,3.43,2,19,87,2,1.64,1.87,0.93,564,Medium
3.25,round,,11.45,2.4,2.42,20,96,2.9,2.79,1.83,0.8,625,Medium
6,elliptical,,11.56,2.05,3.23,28.5,119,3.18,5.08,1.87,0.93,465,Medium
2.08,elliptical,,12.42,4.43,2.73,26.5,102,2.2,2.13,1.71,0.92,365,Medium
2.6,elliptical,,13.05,5.8,2.13,21.5,86,2.62,2.65,2.01,0.73,380,Medium
2.8,elliptical,,11.87,4.31,2.39,21,82,2.86,3.03,2.91,0.75,380,Medium
2.76,elliptical,,12.07,2.16,2.17,21,85,2.6,2.65,1.35,0.86,378,Medium
3.94,elliptical,,12.43,1.53,2.29,21.5,86,2.74,3.15,1.77,0.69,352,Medium
3,round,,11.79,2.13,2.78,28.5,92,2.13,2.24,1.76,0.97,466,Medium
2.12,elliptical,,12.37,1.63,2.3,24.5,88,2.22,2.45,1.9,0.89,342,Medium
2.6,elliptical,,12.04,4.3,2.38,22,80,2.1,1.75,1.35,0.79,580,Medium
4.1,elliptical,,12.86,1.35,2.32,18,122,1.51,1.25,0.94,0.76,630,Low
5.4,round,,12.88,2.99,2.4,20,104,1.3,1.22,0.83,0.74,530,Low
5.7,elliptical,,12.81,2.31,2.4,24,98,1.15,1.09,0.83,0.66,560,Low
5,elliptical,,12.7,3.55,2.36,21.5,106,1.7,1.2,0.84,0.78,600,Low
5.45,round,,12.51,1.24,2.25,17.5,85,2,0.58,1.25,0.75,650,Low
7.1,elliptical,,12.6,2.46,2.2,18.5,94,1.62,0.66,0.94,0.73,695,Low
3.85,elliptical,,12.25,4.72,2.54,21,89,1.38,0.47,0.8,0.75,720,Low
5,round,,12.53,5.51,2.64,25,96,1.79,0.6,1.1,0.82,515,Low
5.7,round,,13.49,3.59,2.19,19.5,88,1.62,0.48,0.88,0.81,580,Low
4.92,elliptical,,12.84,2.96,2.61,24,101,2.32,0.6,0.81,0.89,590,Low
4.6,elliptical,,12.93,2.81,2.7,21,96,1.54,0.5,0.75,0.77,600,Low
5.6,elliptical,,13.36,2.56,2.35,20,89,1.4,0.5,0.64,0.7,780,Low
4.35,round,,13.52,3.17,2.72,23.5,97,1.55,0.52,0.55,0.89,520,Low
4.4,round,,13.62,4.95,2.35,20,92,2,0.8,1.02,0.91,550,Low
8.21,elliptical,,12.25,3.88,2.2,18.5,112,1.38,0.78,1.14,0.65,855,Low
4,elliptical,,13.16,3.57,2.15,21,102,1.5,0.55,1.3,0.6,830,Low
4.9,round,,13.88,5.04,2.23,20,80,0.98,0.34,0.68,0.58,415,Low
7.65,round,,12.87,4.61,2.48,21.5,86,1.7,0.65,0.86,0.54,625,Low
8.42,elliptical,,13.32,3.24,2.38,21.5,92,1.93,0.76,1.25,0.55,650,Low
9.4,elliptical,,13.08,3.9,2.36,21.5,113,1.41,1.39,1.14,0.57,550,Low
8.6,elliptical,,13.5,3.12,2.62,24,123,1.4,1.57,1.25,0.59,500,Low
10.8,round,,12.79,2.67,2.48,22,112,1.48,1.36,1.26,0.48,480,Low
7.1,round,,13.11,1.9,2.75,25.5,116,2.2,1.28,1.56,0.61,425,Low
10.52,round,,13.23,3.3,2.28,18.5,98,1.8,0.83,1.87,0.56,675,Low
7.6,elliptical,,12.58,1.29,2.1,20,103,1.48,0.58,1.4,0.58,640,Low
7.9,elliptical,,13.17,5.19,2.32,22,93,1.74,0.63,1.55,0.6,725,Low
9.01,round,,13.84,4.12,2.38,19.5,89,1.8,0.83,1.56,0.57,480,Low
7.5,elliptical,,12.45,3.03,2.64,27,97,1.9,0.58,1.14,0.67,880,Low
13,elliptical,,14.34,1.68,2.7,25,98,2.8,1.31,2.7,0.57,660,Low
11.75,round,,13.48,1.67,2.64,22.5,89,2.6,1.1,2.29,0.57,620,Low
7.65,elliptical,,12.36,3.83,2.38,21,88,2.3,0.92,1.04,0.56,520,Low
5.88,round,,13.69,3.26,2.54,20,107,1.83,0.56,0.8,0.96,680,Low
5.58,round,,12.85,3.27,2.58,22,106,1.65,0.6,0.96,0.87,570,Low
5.28,elliptical,,12.96,3.45,2.35,18.5,106,1.39,0.7,0.94,0.68,675,Low
9.58,elliptical,,13.78,2.76,2.3,22,90,1.35,0.68,1.03,0.7,615,Low
6.62,round,,13.73,4.36,2.26,22.5,88,1.28,0.47,1.15,0.78,520,Low
10.68,round,,13.45,3.7,2.6,23,111,1.7,0.92,1.46,0.85,695,Low
10.26,elliptical,,12.82,3.37,2.3,19.5,88,1.48,0.66,0.97,0.72,685,Low
8.66,elliptical,,13.58,2.58,2.69,24.5,105,1.55,0.84,1.54,0.74,750,Low
8.5,round,,13.4,4.6,2.86,25,112,1.98,0.96,1.11,0.67,630,Low
5.5,elliptical,,12.2,3.03,2.32,19,96,1.25,0.49,0.73,0.66,510,Low
9.899999,round,,12.77,2.39,2.28,19.5,86,1.39,0.51,0.64,0.57,470,Low
9.7,elliptical,,14.16,2.51,2.48,20,91,1.68,0.7,1.24,0.62,660,Low
7.7,round,,13.71,5.65,2.45,20.5,95,1.68,0.61,1.06,0.64,740,Low
7.3,elliptical,,13.4,3.91,2.48,23,102,1.8,0.75,1.41,0.7,750,Low
10.2,elliptical,,13.27,4.28,2.26,20,120,1.59,0.69,1.35,0.59,835,Low
9.3,elliptical,,13.17,2.59,2.37,20,120,1.65,0.68,1.46,0.6,840,Low
9.2,round,,14.13,4.1,2.74,24.5,96,2.05,0.76,1.35,0.61,560,Low
